Unternehmensform,Webseite,Stadt,PLZ,Straße,Geschlecht,Anrede,Name,Telefonnummer (Google Maps),Telefonnummer (FastPal Enrichment),E-Mail,Zusammenfassung,Unternehmen,Geschlecht,Anrede,Name,Unternehmensart,Kontaktperson 1 - Name,Kontaktperson 1 - E-Mail,Kontaktperson 1 - Telefon,Kontaktperson 2 - Name,Kontaktperson 2 - E-Mail,Kontaktperson 2 - Telefon,Kontaktperson 3 - Name,Kontaktperson 3 - E-Mail,Kontaktperson 3 - Telefon,Services
Verein,http://www.altstaedter.de/,Köln,50667,Alter Markt 28-32,Herr,Dr.,Björn Braun,+49 221 3100628,0221/3100628,info@altstaedter.de,"Die Altstädter Köln 1922 eV sind ein Traditionskorps des Kölner Karnevals und gehören zu den fünf Ur-Traditionskorps. Sie sind das ganze Jahr über aktiv und bieten eine Reihe von Veranstaltungen an, um den Karneval mit ihnen zu feiern. Auf ihrer Website finden sich Informationen zu ihren verschiedenen Abteilungen wie dem Vorstand, Senat, Tanzkorps, Tanzpaar, Reiterkorps, Großem Rat und Reservekorps. Zudem gibt es einen Bereich für Freunde und Förderer sowie Informationen zum Regimentsspielmannszug und der Regimentskapelle. Die Altstädter bieten auch einen Ticketshop und einen Fanshop für ihre Anhänger an. Auf der Website sind zudem historische Informationen über das kurkölnische Traditionskorps und den Fahneneid zu finden. Die Altstädter Köln 1922 eV haben ihren Sitz am Alter Markt in Köln.",Altstädter Köln 1922 eV,Herr,Dr.,Björn Braun,Vereinigung / Organisation,Dr. Björn Braun,,,Elisabeth Schruff,,,Jasmin Becker,,,
GmbH,http://www.platzhirsch-bonn.de/,Bonn,53117,Am Paulusacker 8,Herr,Geschäftsführer,Thomas Gimbel,+49 228 96967565,+49228679000,info@platzhirsch-bonn.de,"Platzhirsch Bonn ist ein charmantes Souvenirgeschäft im Herzen der Bonner Altstadt in der Breite Straße 32. Das Geschäft bietet eine vielfältige Auswahl an Produkten, die die Stadt Bonn widerspiegeln, darunter Becher, Kleidung, Schlüsselanhänger, Bücher, Spiele und Postkarten. Viele Artikel sind mit Motiven von Ludwig van Beethoven oder der berühmten Bonner Kirschblüte verziert. Die Breite Straße selbst ist bekannt für ihre Kirschblüten und zieht jährlich Besucher aus aller Welt an. Platzhirsch Bonn kombiniert Tradition und moderne Einflüsse, um einzigartige Andenken und Geschenke anzubieten. Das Sortiment wird durch saisonale Produkte ergänzt, die den aktuellen Charme Bonns zeigen. Kunden können sowohl online stöbern als auch das Geschäft persönlich besuchen.",Platzhirsch Bonn,Herr,Geschäftsführer,Thomas Gimbel,Souvenirladen,Geschäftsführer Thomas Gimbel,,,,,,,,,
GmbH,https://unternehmen.nanu-nana.de/filiale/koeln-colonaden-hbf-trankgasse-11,Oldenburg,26045,Postfach 5552,Herr,Geschäftsführer,Joachim Hoepp,+49 221 1391322,0049-441-9224-10,info@nanu-nana.de,"NANU-NANA ist ein Geschenkladen, der auf seiner Karriereseite Informationen für potenzielle Mitarbeiter bereitstellt. Das Unternehmen präsentiert sich als attraktiver Arbeitgeber und hebt Erfolgsgeschichten hervor. Es richtet sich an verschiedene Zielgruppen wie Direkt- und Quereinsteiger, Schüler, Abiturienten, Studierende und bietet Ausbildungsmöglichkeiten in den Filialen an. NANU-NANA informiert über Arbeitsbereiche in Filialen und der Zentrale und gibt Bewerbungstipps. Das Unternehmen betont seine Möglichkeiten für verschiedene Karrierewege.",NANU-NANA,Herr,Geschäftsführer,Joachim Hoepp,Geschenkladen,Geschäftsführer Joachim Hoepp,,,Geschäftsführer Sabine Hoepp,,,Geschäftsführer Grischa Krieger,,,
,http://wdr-mediagroup.com/programmverwertung/produktvertrieb/maus-und-co-laden/#_bn,,,,,,,+49 221 2572134,,,"Maus & Co. ist ein Spielwarengeschäft, das sich auf hochwertige und pädagogisch wertvolle Spielzeuge spezialisiert hat. Das Sortiment umfasst eine breite Auswahl an Produkten für verschiedene Altersgruppen, von Babys bis zu Teenagern. Besonderen Wert legt Maus & Co. auf Spielzeug, das die Kreativität, Motorik und kognitive Entwicklung von Kindern fördert. Das Geschäft bietet eine persönliche Beratung und hilft Eltern gerne bei der Auswahl des passenden Spielzeugs. Maus & Co. zeichnet sich durch eine liebevolle und ansprechende Präsentation der Produkte aus. Kunden schätzen die hohe Qualität und die sorgfältige Auswahl des Sortiments. Maus & Co. ist mehr als nur ein Spielwarenladen, es ist ein Ort, an dem Kinderträume wahr werden.",Maus & Co.,,,,Spielwarengeschäft,,,,,,,,,,Spielwaren
,https://lagalana.de/,,,,,,,+49 221 8000923,,,"La Galana Zigarrenmanufaktur und Salon ist ein Zigarrengeschäft im Herzen von Köln-Ehrenfeld. Das Unternehmen bietet eine beeindruckende Auswahl an Tabakwaren, darunter die eigenen handgerollten LA GALANA Zigarren sowie berühmte kubanische Marken wie Cohiba und Montecristo. Als offizieller Habanos Point und Davidoff-Depositär garantiert La Galana höchste Qualität und fachgerechte Lagerung. Neben Zigarren finden Kunden auch eine erlesene Auswahl an kubanischen Rumsorten und passendes Zubehör. La Galana veranstaltet zudem Zigarren- und Rumseminare und bietet Zigarrenrollerinnen für Events an, um kubanisches Flair zu verbreiten. Das Geschäft zeichnet sich durch eine entspannte Atmosphäre und kompetente Beratung aus, was es zu einem Juwel für Zigarrenliebhaber macht.",La Galana Zigarrenmanufaktur und Salon,,,,Zigarrengeschäft,,,,,,,,,,Zigarren; Tabakwaren; Accessoires
,,,,,,,,+351 926 346 048,,,,Souvenirladen,,,,Souvenirladen,,,,,,,,,,
,,,,,,,,+49 221 27226858,,,,Kiosk Am Heumarkt,,,,Kiosk,,,,,,,,,,
,https://flyingtiger.com/pages/store-locator,,,,,,,+49 221 27046809,,,"Flying Tiger Copenhagen ist ein dänisches Unternehmen, das weltweit Geschenkläden betreibt. Sie bieten eine breite Palette an modernen, saisonalen Produkten und farbenfrohen Alltagsgegenständen zu erschwinglichen Preisen. Das Unternehmen legt Wert auf Vielfalt und verfolgt ambitionierte Nachhaltigkeitsziele. Ihr Sortiment umfasst Artikel für Zuhause, Spielzeug, Bastelbedarf, Partyartikel, Schreibwaren und Accessoires. Flying Tiger Copenhagen inspiriert dazu, das Leben in vollen Zügen zu genießen und fördert Kreativität. Sie sind bekannt für ihre einzigartigen und oft überraschenden Produkte, die das Einkaufen zu einem Erlebnis machen. Das Unternehmen engagiert sich für verantwortungsvollen Umgang mit Ressourcen, beispielsweise durch FSC-zertifizierte Produkte.",Flying Tiger Copenhagen,,,,Geschenkladen,,,,,,,,,,Geschenkladen
Delaware corporation,https://bounce.com/stores/cologne/GVYdEG,San Francisco,,548 Market St PMB 60414,Not specified,,Bounce Inc.,+49 201 49869003,,support@usebounce.com,"Bounce Luggage Storage - Cologne Central Station bietet Gepäckaufbewahrung in der Nähe des Kölner Hauptbahnhofs an. Kunden können ihre Taschen ab 3,50 € pro Tag sicher verstauen und so die Stadt unbeschwert erkunden. Der Service ist einfach zu nutzen, mit einer schnellen Abgabe und Abholung der Gepäckstücke. Das Unternehmen bietet eine kostenlose Stornierung und eine Versicherung bis zu 10.000 € an. Die Lagerorte sind mit 24/7 Sicherheitskameras überwacht und bieten verschiedene Schließfachgrößen für alle Arten von Gepäck. Kunden loben die freundlichen Mitarbeiter und die zentrale Lage, die ideal für Reisende ist.",Bounce Luggage Storage - Cologne Central Station,Not specified,,Bounce Inc.,Gepäckaufbewahrung,Bounce Inc.,,,,,,,,,
GmbH,https://www.pinupcomic.de/index.html,Köln,50668,Ritterstr. 44,Herr,,Uwe Petritt,+49 221 136803,0221 / 136803,pinupcomics@netcologne.de,"PIN-UP Comics & mehr ist ein Comicladen, der eine breite Auswahl an Comics, Mangas und Graphic Novels anbietet. Das Sortiment umfasst sowohl aktuelle Neuerscheinungen als auch Klassiker und Sammlerstücke. Neben Comics finden Kunden auch Merchandise-Artikel wie Actionfiguren, Poster und T-Shirts. PIN-UP Comics & mehr legt Wert auf eine persönliche Beratung und eine gemütliche Atmosphäre. Der Laden richtet sich an Comic-Fans jeden Alters und bietet ein breites Spektrum für Einsteiger und Kenner.",PIN-UP Comics & mehr,Herr,,Uwe Petritt,Comicladen,Uwe Petritt,,,Armin,,,,,,
e.K.,http://www.koelnknipse.de/,Köln,50676,Hohe Pforte 13-17,Not specified,Inhaber,Len Finke,+49 221 34662748,0221 34662748,info@koelnknipse.de,"kölnknipse ist ein Geschenkladen, der sich auf Fotos im Quadrat spezialisiert hat. Diese Fotos werden in liebevoller Handarbeit auf schwarze MDF-Platten aufgezogen und sind somit echtes Kölner Kunsthandwerk. Das Unternehmen bietet über 800 Motive an, die von Lieblingsorten über besondere Blickwinkel bis hin zu ungewöhnlichen Fundstücken reichen. Die Bilder sind dafür bekannt, gute Laune zu verbreiten und eignen sich hervorragend als Geschenk oder Sammlerstück. Neben Köln sind auch Fotos aus anderen Städten wie Berlin, Aachen und Frankfurt erhältlich. kölnknipse-Bilder sind im Laden in verschiedenen Größen erhältlich, größere Formate können auf Anfrage angefertigt werden. Alternativ können die Produkte bequem im Online-Shop bestellt werden.",kölnknipse - schöne fotos im quadrat,Not specified,Inhaber,Len Finke,Geschenkladen,Inhaber Len Finke,,,Inhaber Len Finke,,,,,,
e.K.,http://www.koelner-schatzkaestchen.de/,Köln-Lindenthal,50935,Lindenthalgürtel 105,Herr,Dipl.-Kfm.,Norbert Eickelmann,+49 221 4303033,0221.430 30 33,info@koelner-schatzkaestchen.de,"Das Kölner Schatzkästchen Mehr als Geschenke ist ein Geschenkladen in Köln-Lindenthal. Der Laden bietet eine große Auswahl und Vielfalt an besonderen, kölsche Geschenken, aber auch vieles mehr. Kunden sind eingeladen, auf ""Schatzsuche"" zu gehen und das Geschäft zu besuchen. Die Öffnungszeiten sind Montag bis Freitag von 9:30 bis 13:00 Uhr und von 15:00 bis 18:30 Uhr, sowie samstags von 10:00 bis 14:00 Uhr. Mittwochs ist der Laden geschlossen. Die Adresse lautet Lindenthalgürtel 105, Ecke Dürener Straße, 50935 Köln-Lindenthal. Telefonisch ist das Geschäft unter 0221 430 30 33 erreichbar.",Kölner Schatzkästchen Mehr als Geschenke,Herr,Dipl.-Kfm.,Norbert Eickelmann,Geschenkladen,Dipl.-Kfm. Norbert Eickelmann,,,Dipl.-Kfm. Norbert Eickelmann,,,,,,
e.K.,http://www.doodledom.de/,Köln,50937,Luxemburger Str. 176,Frau,,Luise Maria Kuhl,,01749826406,alaaf@doodledom.de,"doodleDom ist ein Souvenirladen aus Köln, der handgefertigte Produkte anbietet. Das Unternehmen wird von einem Mutter-Tochter-Gespann geführt, das jedes Stück mit Liebe und Herzblut von Hand fertigt. doodleDom legt Wert darauf, dass ihre Produkte kunterbunt, liebevoll, einzigartig, personalisierbar und originell sind und das kölsche Lebensgefühl widerspiegeln. Kunden können die Produkte im Online-Shop erwerben oder das Lädchen in Köln-Sülz besuchen. Dort sind Marlies und Steffi Kuhl montags, mittwochs, freitags und samstags von 14 bis 18 Uhr anzutreffen. Darüber hinaus ist doodleDom das ganze Jahr über auf verschiedenen Märkten und Straßenfesten im Kölner Stadtgebiet präsent. Bei individuellen Wünschen können Kunden das Team gerne kontaktieren.",doodleDom,Frau,,Luise Maria Kuhl,Souvenirladen,Luise Maria Kuhl,,,Luise Maria Kuhl,,,,,,
